0	2.3	2.7
1	2.3	2.6
2	2.2	2.6
3	2.1	2.6
4	2	2.6
5	1.9	2.6
6	1.8	2.6
7	1.7	2.6
8	1.7	2.5
9	1.6	2.5
10	1.5	2.5
11	1.5	2.4
12	1.4	2.4
13	1.3	2.4
14	1.3	2.3
15	1.2	2.3
16	1.1	2.2
17	1	2.2
18	0.9	2.2
19	0.8	2.2
20	0.7	2.1
21	0.6	2.1
22	0.5	2.1
23	0.4	2.1
24	0.4	2
25	0.3	2
26	0.2	2
27	2.7	2.6
28	2.8	2.6
29	0.1	2
30	0	1.9
31	-0.1	1.9
32	-0.3	1.8
33	-0.4	1.8
34	-0.5	1.8
35	-0.6	1.8
36	-4.7	5.5
37	-4.7	5.6
38	-4.7	5.7
39	-4.7	5.8
40	-4.6	5.8
41	-4.5	5.8
42	-4.5	5.9
43	-4.4	5.9
44	-4.4	6
45	-4.4	6.1
46	-4.4	6.2
47	-4.4	6.3
48	-4.5	6.4
49	-4.5	6.5
50	-4.8	8
51	-4.8	7.8
52	-4.8	7.7
53	-4.8	7.6
54	-4.8	7.5
55	-4.7	7.3
56	-4.7	7.2
57	-4.7	7
58	-4.7	6.9
59	-4.6	6.8
60	-4.6	6.7
61	-4.6	6.6
62	-4.6	6.5
63	-4.7	5.4
64	-4.8	5.4
65	-5.4	5.4
66	-5.3	5.4
67	-5.2	5.4
68	-5.1	5.4
69	-5	5.4
70	-4.9	5.4
71	-0.6	2.3
72	-0.7	2.3
73	-0.7	2.4
74	-0.8	2.4
75	-0.9	2.4
76	-2.4	0.3
77	-2.4	0.4
78	-2.3	0.5
79	-2.3	0.6
80	-2.4	0.8
81	-2.4	0.9
82	-2.4	1
83	-2.4	1.1
84	-2.3	1.2
85	-2.3	1.3
86	-2.3	1.4
87	-2.3	1.5
88	-2.3	1.6
89	-2.3	1.7
90	-2.3	1.8
91	-2.2	1.9
92	-2.2	2
93	-2.2	2.1
94	-2.1	2.1
95	-2.2	2.2
96	-2.2	2.3
97	-2.2	2.5
98	-2.3	2.5
99	-2.3	2.6
100	-2.2	2.7
101	-2.2	2.8
102	-2.4	0.2
103	-2.4	0.1
104	-2.4	0
105	-2.4	-0.1
106	-2.4	-0.2
107	-2.4	-0.3
108	-2.4	-0.4
109	-2.5	-0.4
110	-2.6	-0.5
111	-2.6	-0.6
112	-2.7	-0.6
113	-2.7	-0.7
114	-2.7	-0.8
115	-2.8	-0.8
